ID,CATEGORY,CLUE,ANSWER
27,FRUIT FORWARD,"It's a firecracker with a long fuse: 
____ bomb",cherry
28,"I BEFORE E, AFTER C","There's a 3,200-square-mile one of these masses in Vatnajokull, Iceland",glacier
29,THE PROBLEM IS...,"David Hume delved into the theological conundrum known as the problem of this; is God ""willing to prevent it, but not able?""",evil
30,THIS FAMILY MATTERS,In 1928 this family made its Madison Square Garden debut without a net--it had gotten lost in shipping,the (Flying) Wallendas
31,AROUND THE MEDITERRANEAN,"Let's check out the 88-foot <a href=""https://www.j-archive.com/media/2021-12-09_J_23.jpg"" target=""_blank"">Pompey's Pillar</a>, dedicated around 297 A.D. in this Egyptian city, but we're a tad late on its lighthouse",Alexandria
32,COLORFUL OSCAR-WINNING FILMS,"I'm just Wilde about Harry Stradling, who won a cinematography Oscar for this novel adaptation",<i>The Picture of Dorian Gray</i>
33,100 YEARS AGO,He was president of the United States 100 years ago,Grover Cleveland
34,THE 18th CENTURY,In 1789 General Nguyen Hue led an attack on Chinese forces during this holiday,Tet
35,COLLEGES & UNIVERSITIES,This Poughkeepsie school was the first of the seven sisters to be coeducational,Vassar
36,ENGLISH LANGUAGE WRITERS,"In his journal of 1710 to 1713, he referred to himself as ""Presto""",Jonathan Swift
37,TRAVEL & TOURISM,"Traveling from Denmark to the Netherlands, you'll want to exchange your kroner for these",guilders
38,WIDOWS IN THE BIBLE,"In 1 Kings 17:22 this happens to the son of the widow of Zarephath, thanks to the prophet Elijah",he is brought back to life
39,ANCIENT HISTORY,World's most extensive archaeological dig is still being conducted at this ancient Italian site,Pompeii
40,BODIES OF WATER,2 directions that complete the names of China seas,South China Sea & East China Sea
41,1974,He became 1st Black to manage a major league team when the Indians made him chief,Frank Robinson
42,LEAVE 'EM LAUGHING,"In an Ella Wheeler Wilcox poem, they're the 7 words that precede ""weep and you weep alone""",laugh and the world laughs with you
43,HOMOPHONES,"Someone residing in a foreign land; or, Drew Bledsoe, now with the Buffalo Bills",expatriate/ex-Patriot
44,PRISONERS' SENTENCES,"This civil rights leader penned his ""Letter From the Birmingham Jail"" on April 16, 1963",Dr. Martin Luther King Jr.
45,THE FOOL,"In 1519 this Aztec welcomed Cortes with gold, perhaps thinking the explorer was a god; he died in 1520",Montezuma
46,THINGS ARCHITECTS SHOULD KNOW,"Clinkers, face & cored are types of these building materials",bricks
47,THE NOSE KNOWS,"The ethmoid & the sphenoid are two of <a href=""https://www.j-archive.com/media/2023-02-28_J_26.jpg"" target=""_blank"">these</a> cavities that can drain into the nose",a sinus
48,ENDS IN A DOUBLE VOWEL POTPOURRI,"Home to up to 20,000 people, this city had a catastrophically bad day in 79 A.D.",Pompeii
49,"HELLO, DOLLY!","Turning 25 in 2011 is this line of dolls that includes Josefina Montoya, a youngster growing up in 1824",American Girl
50,THIS MUST BE BELGIAN,"It's the Belgian town in the title of the artwork <a href=""http://www.j-archive.com/media/2005-05-25_J_22.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-05-25_J_22a.jpg"" target=""_blank"">here</a>",Waterloo
51,TALES OF ADVENTURE,"Walter Lord's ""A Night to Remember"" is a riveting tale of this early 20th century disaster",the <i>Titanic</i>
52,NEWSPAPERS,In 1946 financier Eugene Meyer turned over the operations of this newspaper to his son-in-law Philip Graham,the Washington Post
53,DAM IT!,This dam holds back the water in Lake Nasser,Aswan High Dam
54,HIGH SCHOOL NAMES,"A Washington-area high school bears the name of this Senators pitcher, ""The Big Train""",Walter Johnson
55,ANIMAL MASCOTS,Jägermeister,a deer
56,GEOGRAPHY,Port Said & Port Fuad lie opposite each other at the northern end of this canal,the Suez Canal
57,THE LIBRARY OF CONGRESS,"Registered in 1893 by Thomas Edison, ""...Record of a Sneeze"" is the earliest known copyright for one of these",Motion picture
58,"OF THE ""THIRD"" KIND","In a classic comedy routine, it's where you'll find ""I Don't Know""",third base
59,THE SPHINX,"The most famous Egyptian sphinx is known as the Great Sphinx of this place, near the Pyramids",Giza
60,POTENT POTABLES,"Like a white rose cocktail, a white baby contains this liquor -- you might prefer the dry type",gin
61,SUFFIXES,"It's used to denote residency, like in Brooklyn, or adherence to a person, like Mr. Ludd",-ite
62,QUOTABLE QUOTES,"In 1971, as head of the National Security Council, he said that power ""is the great aphrodisiac""",Kissinger
63,THE LADIES OF ROCK,"At a benefit for stopping violence against women, this Hole leader slapped a woman & began wrestling with her",Courtney Love
64,THE THEATRE,This murderous barber has a chair that can suddenly drop a victim via trap door into a cellar,Sweeney Todd
65,AMERICAN HISTORY,"Incorporated as a city in 1881, it later became the territorial capital, then state capital of Arizona",Phoenix
66,LEADERS,Viktor Orban is the anti-immigrant leader of this European country,Hungary
67,5-LETTER WORDS,The 10 Commandments say not to do this to another man's house or wife,covet
68,A PASSION FOR FASHION,"<a href=""http://www.j-archive.com/media/2016-04-18_J_14.jpg"" target=""_blank"">This jacket seen here named for an historic figure was big in the 60s",a Nehru jacket
69,"""ON"" & ""OFF"" SONGS","In 1984, comfortably or not, Lionel Richie was ""stuck"" here","""On You"""
70,SPORTS,Red Barber used to keep an egg timer in the booth to remind himself to announce this every 3 minutes,the score
71,1990s FASHION,"These sexy yet ""infantile"" dresses have been worn over bicycle shorts",babydolls
72,"ALL ""AMERICAN""","Their publications include ""First Aid Fast"" & a ""Babysitter's Handbook""",the American Red Cross
73,"GET ""IN""",Adjective for evidence not allowable in court,inadmissible
74,LET'S GUESS YOUR WAIT,"An elderly woman recognizes this now-old Washington Irving character & asks, ""Where have you been these twenty long years?""",Rip Van Winkle
75,WHO WAS PRESIDENT WHEN...,The Japanese bombed Pearl Harbor,Franklin D. Roosevelt (1941)
76,WORLD GEOGRAPHY,Palenque in southern Mexico contains exquisite examples of the architecture of their civilization,the Mayans
77,THE QUOTABLE CHURCHILL,"This ""at all costs,"" this ""in spite of all terror,"" this ""however long and hard the road may be"" (V is for...)",victory
78,ANONYMOUS QUOTES,"""A man of words and not of deeds is like a garden full of"" these",weeds
79,CHARACTERS IN PLAYS,In this play Veta Simmons tries to get her brother Elwood P. Dowd committed to a sanitorium,<i>Harvey</i>
80,CHILDREN'S SONGS,"The Reader's Digest Children's Songbook says, ""For additional verses, add your own animals"" to this song","""Old McDonald"" (Had A Farm)"
81,DESERT SURVIVAL SKILLS,"(<a href=""http://www.j-archive.com/media/2007-12-20_DJ_27.jpg"" target=""_blank"">Kelly of the Clue Crew walks through brush in White Sands National Monument, NM.</a>) Be very careful relying on desert plants for food & drink; avoid any that have red seeds, milky sap, or leaves that are digitate, meaning shaped like an open one of these",a hand
82,RHYME SPREE,"Exultant, high-spirited merriment",glee
83,SCIENCE & NATURE,"Sir Humphry Davy named this element, symbol Mg, for a place in Greece",magnesium
84,POLITICAL TERMS,"A room used in sound recording, this phrase means a group of people who repeat & reinforce each other's beliefs",echo chamber
85,THE EMMYS 1967,"I'm a believer in this TV series that beat out ""Bewitched"" to win Best Comedy",<i>The Monkees</i>
86,MOVIES THAT MATTER,This 2014 film about voting marches in Alabama shined a light on the contributions of Black women to the civil rights movement,<i>Selma</i>
87,PEOPLE & PLACES,The majority of this country's people are Bhutias whose ancestors emigrated from Tibet,Bhutan
88,RELIGION,"In Christian art, it's shown as square for living people & circular for saints",a halo
89,"LOCUTION, LOCUTION, LOCUTION",To be extremely nervous or agitated is to be like this title of a Tennessee Williams play,<i>Cat on a Hot Tin Roof</i>
90,CHEERS,It's the booze that's in both a Bloody Mary & a screwdriver,vodka
91,THE 1980s,"In 1985, 55 years after his death, a memorial to D.H. Lawrence was unveiled in this church's Poet's Corner",Westminster Abbey
92,GOVERNMENT AT YOUR SERVICE,"You can click on ""Where's My Refund?"" on this federal agency's website",the IRS
93,HOSPITALS,"On Feb. 14, 1962 the doors opened to this Memphis hospital founded by Danny Thomas",St. Jude
94,INSURANCE,In 1988 this British firm celebrated its 300th anniversary,Lloyd's of London
95,"LET THERE BE ""LIGHT""","An old saying goes, ""Many hands make"" this",light work
96,LANDMARKS,Paris locale where you'd go to view the Mona Lisa,the Louvre
97,BAD NEWS,"In 1922 the NAACP got the House to vote against this form of mob murder, but the bill died in the Senate",lynching
98,SCRAMBLED SAYINGS,Do see monkey monkey,"""Monkey see, monkey do"""
99,FAIRY TALES,She lived with a septet of men who didn't even get names until 1937,Snow White
100,A NOSE FOR GNUS,"With horns that can bruise you, it's natural that the 2 species of gnus are black & this",blue
101,"IN THE ""SPRING"" TIME","A beginning from which an enterprise is launched, it's also a summer Olympic diving event",a springboard
102,SINGING THE BLUES,McKinley Morganfield got this nickname from his habit of playing in a creek as a child,Muddy Waters
103,MMM...BEER,"In the 1890s, Adolphus Busch developed this super-premium beer still marketed by Anheuser-Busch",Michelob
104,SPORTS,Only Bill Hartack & Eddie Arcaro have each won it 5 times,Kentucky Derby
105,"""Y"" NOT","In Chinese dualistic philosophy, Yin is the female cosmic principle; this is the male",Yang
106,IT'S A CONSPIRACY!,Meryl Streep played this nuclear plant employee some believe was killed while trying to blow the whistle,(Karen) Silkwood
107,DOUBLE MEANINGS,"A den painted deep red, or Sherlock Holmes' first story",<i>A Study in Scarlet</i>
108,MORE THAN ONE MEANING,"A king's headgear, or a tooth cover",a crown
109,AROUND THE HOUSE,During summer you can help conserve power by using a ceiling one of these instead of your air conditioner,a fan
110,U.S. LIBRARIES,"Check it out--located at 42nd Street & Fifth Avenue, its cornerstone laying was November 10, 1902",the New York Public Library
111,SCIENTISTS & INVENTORS,In 1914 Max Planck helped Einstein get a position at the Kaiser Wilhelm Physical Institute in this capital,Berlin
112,CELEBRITY MEMOIRS,"It's no dream--Arnold Schwarzenegger really did title his 2012 memoir this, like that of his 1990 sci-fi thriller",<i>Total Recall</i>
113,DESERT SURVIVAL SKILLS,"(<a href=""http://www.j-archive.com/media/2007-12-20_DJ_30.jpg"" target=""_blank"">Jon of the Clue Crew reports from White Sands National Monument, New Mexico.</a>)  Sounds odd, but black tea bags are handy in the desert: steep the bags & apply to sunburn; this acid in the tea relieves heat, pain & itching",tannin (or tannic acid)
114,QUOTES OF VICTORY,"Italian foreign minister Ciano was one of those who observed, ""Victory finds 100 fathers but defeat is"" this",an orphan
115,BILLY IDLE,"Thanks to George, he had plenty of off time between his 5 stints as manager of the New York Yankees",Billy Martin
116,TOUGH HISTORY,Name for the style seen here after a king who reigned from 1643 to 1715:,Louis XIV
117,MUSICAL A TO Z,"""O"" is for this interval between a note & its first overtone",an octave
118,"SWEET ""P""","Perhaps an alteration of the word ""potato"", this word follows ""sweet"" in a slang term for a pretty girl",patootie
119,THE WAR OF 1812,"By the dawn's early light of Sept. 14, 1814, the U.S. flag was still flying over this Baltimore fort",Fort McHenry
120,WEDDINGS,Among this person's traditional duties are to pay the officiant & sign the marriage license as a witness,the best man
121,COLORFUL MOVIES,"""Pirates of the Caribbean: The Curse of the ____ Pearl""",Black
122,BLOODSUCKERS,The teeth of this bloodsucking cave dweller are so sharp that victims may not even feel the bite,the vampire bat
123,1947,Thor Heyerdahl spent 101 days sailing this raft from Peru to Polynesia,<i>Kon-Tiki</i>
124,BIOLOGY,A pulse is taken where one of these lying close to the skin can be pressed lightly,an artery
125,2-WORD TV TITLES,It co-starred RJ Mitte as Walter Jr.,<i>Breaking Bad</i>
126,PRO CHEERLEADER SQUADS,"In California's capital:
The Royal Court Dancers",the (Sacramento) Kings
127,URBAN MYTHS,"Did you hear?  This man had a congressional page fired for making a ""Love Boat"" joke",Fred Grandy
128,BRITISH AUTHORS,"Her futuristic novel ""The Last Man"" is considered her finest after ""Frankenstein""",Mary Shelley
129,NATIONS,"<a href=""https://www.j-archive.com/media/2021-08-10_DJ_15.jpg"" target=""_blank"">This</a> small nation is mainland South America's only country with English as an official language",Guyana
130,IOWA,"Pufferbilly Days, held each September in Boone, celebrates this means of transport",rail
131,WARBIRDS,"Britain's WWI S.E.5 fighter carried 2 of these, a Vickers fixed in the nose & a movable Lewis attached to the upper wing",machine guns
132,FARMING,The main type of farming on the western grasslands of the U.S. is this type of ranching,cattle ranching
133,NEIGHBORS OF NIGER,"Naturally, <a href=""http://www.j-archive.com/media/2012-07-16_DJ_19.jpg"" target=""_blank"">it</a>'s Niger's neighbor",Nigeria
134,5-LETTER WORDS,"Since this 1980 song was his only #1 hit, it's no wonder Eddie Rabbitt loved this kind of night",rainy
135,"""O"" YES","In Madrid, it follows nueve, diez...",once
136,NOTABLE PHYSICIANS,Benjamin Rush was 1 of 4 practicing physicians who signed this 1776 document,Declaration of Independence
137,"ENDS IN DOUBLE-""S""","It's been said that when you look into this, from the Greek for ""bottomless"", it also looks into you",the abyss
138,FRENCH ART & ARTISTS,"Rodin's sculpture ""The Thinker"" was originally conceived as a representation of this poet gazing at the gates of hell",Dante
139,RELIGIOUS LEADERS,"John Carroll, the first Roman Catholic bishop in the U.S., founded this D.C. university in 1789",Georgetown
140,WOODWORKING,"<a href=""http://www.j-archive.com/media/2008-01-24_DJ_30.mp4"">If the joint called mortis and this</a> is too deep, you get movement; too short, there's not enough gluing surface",tenon
141,LANGUAGE LESSONS,"Latin:
Voice of the people",<i>vox populi</i>
142,"DUKE, DUKE","The ancient British noble title ""Duke of"" this WWII landing place began with William the Conqueror",Normandy
143,CATS UP,Close friends of this garbage-can-dwelling Hanna-Barbera feline get to call him T.C.,Top Cat
144,AND THE GIRLS ARE PRETTY,19th c. Brits praised the beauty of the women in this disputed area of northern India & northeastern Pakistan,Kashmir
145,GUINNESS RECORDS,"No doubt the most valuable object ever stolen, it vanished from the Louvre in 1911, but was recovered",the <i>Mona Lisa</i>
146,WORLD FACTS,"The population of this island nation is approximately 78% Greek, 19% Turkish & 3% other",Cyprus
147,"""E-Z-A""",French term meaning government should mind its own business,<i>laissez-faire</i>
148,COMPOSERS,In 1943 American composer William Schuman became the first composer to win one of these prizes,Pulitzer
149,THE BIBLE,1 of 2 groups to whom Paul wrote 2 New Testament epistles,Corinthians (and the Thessalonians)
150,CIVIL WAR,"In contrast to the ""Stars and Stripes"", the 1861 Confederate flag was nicknamed this","""Stars and Bars"""
151,DEPARTMENT STORES,"Though ""Macy's doesn't tell"" this rival store, they would tell you it closed in 1986",Gimbels
152,"""W""RITERS",This member of the Bloomsbury Group was born Adeline Virginia Stephen,(Virginia) Woolf
153,GEMS,"The name of this bluish gem used in jewelry & for carvings means ""stone of azure""",lapis lazuli
154,PEOPLE NAMED ALEX,"Before he wrote ""Roots"", Alex Haley helped write the life story of this black nationalist leader",Malcolm X
155,CELEBRITIES,"An Oscar-winner for ""Dreamgirls"", in 2022 <a href=""https://www.j-archive.com/media/2022-10-18_J_01.jpg"" target=""_blank"">she</a> became an EGOT, adding a Tony for ""A Strange Loop"", which she co-produced",(Jennifer) Hudson
156,OPERA,"First name shared by a servant in ""La Traviata"" & the composer of ""La Traviata""",Giuseppe
157,GRAPHICS,An atomized mist of ink or paint is part of this graphical process used on T-shirts & to retouch photos,airbrushing
158,THE MIDDLE AGES,These societies for craftsmen & merchants originated in western Europe in the 11th century,Guilds
159,THE WONDERFUL WORLD OF SYDNEY,The Sydney Opera House is on the harbor; the shells of its roof are known by this nautical name,sails
160,TO BE PRECISE,"Any pigeon can properly be called this, though usually only a small or pretty one is",a dove
161,FASHION,Yves Saint Laurent first made his mark at this fashion house,Christian Dior
162,MARCONI & CHEESE,Marconi likely sampled some Brie when he acted as plenipotentiary at the 1919 peace conference at this royal residence,Versailles
163,1920s GOOD READS,"A contemporary romantic drama, her ""The Glimpses of the Moon"" isn't as well-known as ""The Age of Innocence""",Wharton
164,& CARRIE,"Andie MacDowell played Carrie, the American girl who captures Hugh Grant's heart, in this 1994 film",<i>Four Weddings and a Funeral</i>
165,"GLORIA, GLORIA",We wonder if there was a conga line when this singer received the Presidential Medal of Freedom in 2015,(Gloria) Estefan
166,TRANSPORTATION,"The USA's largest delivery company, it's brown vans are washed daily",UPS
167,THE ARTS,"Sadly, mental illness ended the career of <a href=""https://www.j-archive.com/media/2023-05-22_J_02.jpg"" target=""_blank"">this</a> Russian-born ballet dancer in 1919 while he was still in his 20s",Nijinsky
168,PLAYS BY CHARACTER,"Vladimir,
Estragon,
Lucky,
Pozzo",<i>Waiting for Godot</i>
169,NEO GEO,"As an important source of this metal from the 1400s on, Ghana was previously known as this ""Coast""",gold
170,TRASH TALKING AT THE MEDIEVAL JOUST,The lady whose favor thou sportest will sup with me ere the end of this larger event of which the joust is part,a tournament
171,PUNCHY WRITERS,"He discussed Ali vs. Foreman in his book ""The Fight"" & in the 1996 film ""When We Were Kings""",Norman Mailer
172,SEMILITERATE BEFORE & AFTER,Team rope-pulling contest that becomes a Tolstoy novel,tug-of-<i>War and Peace</i>
173,"CROSSWORD CLUES ""E""",Having keen vision (5-4),eagle-eyed
174,1930s BEST SELLERS,"John Steinbeck's ""Of Mice & Men"" was his 1st best seller, this, his 2nd, was the No. 1 book of 1939",<i>The Grapes of Wrath</i>
175,THINGS WITH POCKETS,A fob pocket on a vest or a pair of pants was originally designed to carry this,a watch
176,"""CON""s","Bellow out the name of <a href=""http://www.j-archive.com/media/2010-11-04_DJ_14.jpg"" target=""_blank"">this</a> instrument see here",a concertina
177,PRO BASKETBALL,"On Nov. 24, 1960 this Philadelphia Warrior had 55 rebounds, still the one-game NBA record",Wilt Chamberlain
178,TRIOS,"Gaspar, Melchior & Balthasar","three kings of the Orient (three wise men, three magi)"
179,EUROPEAN POETS & POETRY,"In 1776 Karl August, Duke of Saxe-Weimar, appointed this poet to his cabinet as privy councilor",Goethe
180,JEOPORTMANTEAU!,Thane of Cawdor plus birthplace of Jesus,Macbethlehem
181,POTENT POTABLES,"Lying north of Burgundy & east of Paris, this region turns its black pinot noir grapes into sparkling wines",Champagne
182,RIVERS,A European capital got its name as a consequence of flooding on this river,the Amstel River
183,WORLD GEOGRAPHY,"At 1550 sq. miles, this country's Lake Nasser is one of the world's largest artificial lakes",Egypt
184,OUTLAWS,"Hampered by orders not to use Mexican railroads, this U.S. general failed to capture Pancho Villa",Black Jack Pershing
185,BOOKS,"(<a href=""http://www.j-archive.com/media/2019-05-16_J_27.jpg"" target=""_blank"">Sarah of the Clue Crew shows a book and its ISBN.</a>) On the back of every book there's a code; on the one <a href=""http://www.j-archive.com/media/2019-05-16_J_27a.jpg"" target=""_blank"">here</a>, the 0 denotes the book is from an English-language country, & the number <a href=""http://www.j-archive.com/media/2019-05-16_J_27b.jpg"" target=""_blank"">here</a> stands for the publisher; the whole series is called an ISBN, this type of book number",International Standard
186,POP CULTURE BEFORE & AFTER,"Ken's rhyming dream abode in the film ""Barbie"" hatches into a prequel of ""Game of Thrones""",a <i>Mojo Dojo Casa House of the Dragon</i>
187,FAMOUS FRENCH FOLKS,"Seen <a href=""http://www.j-archive.com/media/2012-05-10_DJ_20.jpg"" target=""_blank"">here</a> is a wax figure of <a href=""http://www.j-archive.com/media/2012-05-10_DJ_20.jpg"" target=""_blank"">this</a> woman who survived France's Reign of Terror to found her own
wax museum",Madame Tussaud
188,"SHOOTING ""BB""s",A sheath for a sword,a scabbard
189,HISTORY,In 1795 the British captured Cape Town from this European power,the Netherlands
190,"GIVE THE ""DEVIL""",Jabez Stone enlists the aid of a statesman to help save his soul in this story by Stephen Vincent Benet,"""The Devil and Daniel Webster"""
191,BOYS IN THE BAND,"Roger Waters,
David Gilmour,
Nick Mason",Pink Floyd
192,THAT'S A FACT,"The Peruvian part of this lake covers more than 1,900 square miles but even more importantly, it's funny to say",Titicaca
193,EGG,There's nothing satanic about this hard-cooked-egg appetizer; the name means the dish was made with a hot or savory seasoning,deviled eggs
194,TALES OF THE SOUTH PACIFIC,"She wrote the classic anthropology text ""Coming of Age in Samoa""",(Margaret) Mead
195,POP CULTURE-POURRI,It's the title of a 1978 Brooke Shields film & a 2023 documentary series about Brooke Shields,<i>Pretty Baby</i>
196,RABBITS IN FILM,"This 1950 Jimmy Stewart film could be titled ""The Invisible Rabbit""",<i>Harvey</i>
197,POTENT QUOTABLES,Famous poetical drinking instruction Ben Jonson gave “to Celia”,drink to me only with thine eyes
198,AN EAR FOR MUSIC,"Lurch into <a href=""http://www.j-archive.com/media/2011-04-20_J_30.mp3"">this</a> instrument",a harpsichord
199,5-LETTER WORDS,"An archaic interjection used to express surprise, it still means ""to wed""",marry
200,LIVE IN TEXAS,James Stockdale was this Texan's running mate in the 1992 presidental election,(Ross) Perot
201,THE WORLD THROUGH LITERATURE,This classic work recounts 100 stories told by 3 men & 7 women fleeing the plague in 14th century Italy,the <i>Decameron</i>
202,4-SYLLABLE WORDS,"When the Bastille fell, Louis XVI asked, ""Is it a revolt?"" & was told it was one of these",Revolution
203,LIFE OF A SALESMAN,"His name means ""coal miner"", but he was a book salesman who started a weekly magazine in 1895",Peter Fenelon Collier
204,RELIGIOUS MUSIC,"Famous traditional American hymn, or what some call ""A View to a Kill's"" Ms. Jones","""Amazing Grace"""
205,TV SHOW PEOPLE,"Luke Danes;
Lorelai & Rory
(their last name would kinda give the clue away)",<i>The Gilmore Girls</i>
206,YOU'VE GOT TASTE,The Oyster Perpetual is a legendary watch from this upscale brand,Rolex
207,"LET'S TALK ABOUT ""SEX""",This person is in charge of the holy objects of a church,the sexton
208,LABOR,"From Spanish for ""arm"", name for migrant fruit pickers",braceros
209,THE BODY,This word for an upper chamber of the heart is also used for a sunny central courtyard,atrium
210,SPORTSMEN,"(<a href=""http://www.j-archive.com/media/2005-06-14_DJ_05.jpg"" target=""_blank"">Hi, I'm Trent Green of the Kansas City Chiefs in the NFL.</a>)  When the Chiefs won their first Super Bowl in 1970, they were led by this quarterback",Len Dawson
211,CITY SPELLING,The NYC borough that includes Wall Street,M-A-N-H-A-T-T-A-N
212,GOPHER THE GUSTO,"Sinclair Lewis' ""Main Street"" takes place in Gopher Prairie in this state",Minnesota
213,PAINTING & SCULPTURE,"A painting applied to & made integral with a wall or ceiling, its name is from Latin for ""wall""",Mural
214,MAGAZINES,"A combination of bits processed by a computer as a unit, or a computer magazine",byte
215,WOMEN DIRECTORS,"Penny Marshall made her directing debut on this sitcom; she starred on it, too","""Laverne And Shirley"""
216,19th CENTURY NOVELS,The original version of this novel made vampires seem a real threat; an editor said people are jumpy from Jack the Ripper--go easy,<i>Dracula</i>
217,ANGELIC SONGS,"In 1961, Curtis Lee described these as ""Pretty Little""","""Angel Eyes"""
218,AUTHORS' BIRTHPLACES,"In 1899 H.L. Mencken became a reporter in this city, his hometown",Baltimore
219,DAYS IN...,Y.A. Tittle & Johnny Unitas played coaches in this 1999 Al Pacino film,<i>Any Given Sunday</i>
220,HISTORY,Colliers Encyclopedia says this bizarre czar was entirely lacking in mental stability,Ivan the Terrible
221,COLONIAL AMERICA,"This famous rider wasn't just a silversmith; he dabbled in dentistry, too",Paul Revere
222,RHYME TIME,"A quick, casual kiss on the nape",a neck peck
223,SPEAKER'S CORNER,Thomas was the real name of this man who in 1936 graduated Boston College & joined the Mass. State House,Tip O'Neill
224,U.S. CITIES,The Smith Brothers made their first cough drops in this city that's now the home of Vassar,Poughkeepsie
225,CHANNEL SURFING,A channel called Rich Passage separates relatively rich Bainbridge Island from this state's Kitsap Peninsula,Washington
226,WINGS,"An official state bird, the Rhode Island Red is one of these",a chicken
227,"STARTING ""EN""",Deep-seated hatred,enmity
228,THE QUEEN'S ENGLISH,"By the British term, this would be Fun Fair Cruise Lines",Carnival Cruise Lines
229,TRAVEL & TOURISM,The Centers for Disease Control in this city will fax information on health risks abroad to travelers,Atlanta
230,ASSASSINATIONS,"After the assassination of Sancho II in 1072, this Spanish nat'l hero entered the service of Alfonso VI",El Cid
231,MIDDLE NAMES,"It was ""The March King""'s middle name",Philip
232,AUDIO LITERATURE,"Jack Kerouac's ""The Dharma Bums"" is read <a href=""http://www.j-archive.com/media/2000-10-27_J_24.mp3"">here</a> by this literary giant who knew him",Allen Ginsberg
233,MARRIAGE,"In many states, living together a certain number of years constitutes this type of marriage",common-law
234,THE 1840s,In 1847 the Communist League hired this pair to write its manifesto,Karl Marx and Friedrich Engels
235,TURKEY DAY,This body of water provides most of Turkey's northern border,the Black Sea
236,INSECTS,"Known as a 17-year locust, its developmental cycle is the longest of any known insect",a cicada
237,SPORTS,"In Oct. '77, the Davis Cup committee barred him from play for improper language & gestures",Ilie Nastase
238,AMERICAN LITERATURE,"After a stint as a Hollywood screenwriter, Nathanael West wrote this Hollywood novel, his last",<i>The Day of the Locust</i>
239,THE LEFTY WAY,"Lefties who smudge what they write may prefer right-to-left languages like <a href=""http://www.j-archive.com/media/2008-02-07_DJ_20.jpg"" target=""_blank"">this</a> one used in Qom & Tabriz",Farsi (Persian)
240,ATHLETES IN THE HEADLINES,"In 2016 Tamara James, formerly of this league's Washington Mystics, was elected mayor of Dania Beach, Fla.",the WNBA
241,HAPPY CAMPERS,"This Calif. natl. park's Lodgepole Campground is 2 miles from the Giant Forest, home of the General Sherman tree",Sequoia
242,CAMELS,Camels are widely used on farms in the Punjab region of India & this country,Pakistan
